country_name,latitude,longitude
Afghanistan,33.93911,67.709953
Angola,-11.2027,17.8739
Albania,41.1533,20.1683
Andorra,42.5462,1.6016
United Arab Emirates,23.4241,53.8478
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Antigua and Barbuda,17.0608,-61.7964
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Burundi,-3.3731,29.9189
Belgium,50.5039,4.4699
Benin,9.3077,2.3158
Burkina Faso,12.2383,-1.5616
Bangladesh,23.685,90.3563
Bulgaria,42.7339,25.4858
Bahrain,25.9304,50.6378
Bahamas,25.0343,-77.3963
Bosnia and Herzegovina,43.9159,17.6791
Belarus,53.7098,27.9534
Belize,17.1899,-88.4976
Bolivia,-16.2902,-63.5887
Brazil,-14.235,-51.9253
Barbados,13.1939,-59.5432
Brunei Darussalam,4.5353,114.7277
Bhutan,27.5142,90.4336
Botswana,-22.3285,24.6849
Central African Republic,6.6111,20.9394
Canada,56.1304,-106.3468
Switzerland,46.8182,8.2275
Chile,-35.6751,-71.543
China,35.8617,104.1954
Cameroon,7.3697,12.3547
"Congo, The Democratic Republic of the",-4.0383,21.7587
Congo,-0.228,15.8277
Colombia,4.5709,-74.2973
Comoros,-11.875,43.8722
Cabo Verde,16.5388,-23.0418
Costa Rica,9.7489,-83.7534
Cuba,21.5218,-77.7812
Cyprus,35.1264,33.4299
Czechia,49.8175,15.473
Germany,51.1657,10.4515
Djibouti,11.8251,42.5903
Dominica,15.414999,-61.370976
Denmark,56.2639,9.5018
Dominican Republic,18.7357,-70.1627
Algeria,28.0339,1.6596
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
Eritrea,15.1794,39.7823
Spain,40.4637,-3.7492
Estonia,58.5953,25.0136
Ethiopia,9.145,40.4897
Finland,61.9241,25.7482
Fiji,-16.5782,179.4144
France,46.2276,2.2137
Micronesia,7.4256,150.5508
Gabon,-0.8037,11.6094
United Kingdom,55.3781,-3.436
Georgia,42.3154,43.3569
Ghana,7.9465,-1.0232
Guinea,9.9456,-9.6966
Gambia,13.4432,-15.3101
Guinea-Bissau,11.8037,-15.1804
Equatorial Guinea,1.6508,10.2679
Greece,39.0742,21.8243
Grenada,12.1165,-61.679
Guatemala,15.7835,-90.2308
Guyana,4.8604,-58.9302
Honduras,13.7942,-88.8965
Croatia,45.1,15.2
Haiti,18.9712,-72.2852
Hungary,47.1625,19.5033
Indonesia,-0.7893,113.9213
India,20.5937,78.9629
Ireland,53.4129,-8.2439
Iran,32.4279,53.688
Iraq,33.2232,43.6793
Iceland,64.9631,-19.0208
Israel,31.0461,34.8516
Italy,41.8719,12.5674
Jamaica,18.1096,-77.2975
Jordan,30.5852,36.2384
Japan,36.2048,138.2529
Kazakhstan,48.0196,66.9237
Kenya,-1.2921,36.8219
Kyrgyzstan,41.2044,74.7661
Cambodia,12.5657,104.991
Kiribati,1.8709,-157.363
Korea,35.9078,127.7669
Kuwait,29.3117,47.4818
Lao People's Democratic Republic,19.8563,102.4955
Lebanon,33.8547,35.8623
Liberia,6.4281,-9.4295
Libya,26.3351,17.2283
Liechtenstein,47.166,9.5554
Sri Lanka,7.8731,80.7718
Lesotho,-29.61,28.2336
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Latvia,56.8796,24.6032
Morocco,31.7917,-7.0926
Monaco,43.7384,7.4246
Moldova,47.4116,28.3699
Madagascar,-18.7669,46.8691
Maldives,3.2028,73.2207
Mexico,23.6345,-102.5528
Marshall Islands,7.1315,171.1845
Mali,17.5707,-3.9962
Malta,35.9375,14.3754
Myanmar,21.9162,95.956
Montenegro,42.7087,19.3744
Mongolia,46.8625,103.8467
Mozambique,-18.6657,35.5296
Mauritania,21.0079,-10.9408
Mauritius,-20.3484,57.5522
Malawi,-13.2543,34.3015
Malaysia,4.2105,101.9758
Namibia,-22.9576,18.4904
Niger,17.6078,8.0817
Nigeria,9.082,8.6753
Nicaragua,12.8654,-85.2072
Netherlands,52.1326,5.2913
Norway,60.472,8.4689
Nepal,28.3949,84.124
New Zealand,-40.9006,174.886
Oman,21.5126,55.9233
Pakistan,30.3753,69.3451
Panama,8.538,-80.7821
Peru,-9.19,-75.0152
Philippines,12.8797,121.774
Papua New Guinea,-6.31499,143.9555
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Paraguay,-23.4425,-58.4438
Qatar,25.3548,51.1839
Romania,45.9432,24.9668
Russian Federation,61.524,105.3188
Rwanda,-1.9403,29.8739
Saudi Arabia,23.8859,45.0792
Sudan,12.8628,30.2176
Senegal,14.4974,-14.4524
Singapore,1.3521,103.8198
El Salvador,13.7942,-88.8965
Somalia,5.1521,46.1996
Serbia,44.0165,21.0059
Suriname,3.9193,-56.0278
Slovakia,48.669,19.699
Slovenia,46.1512,14.9955
Sweden,60.1282,18.6435
Syrian Arab Republic,34.8021,38.9968
Chad,15.4542,18.7322
Togo,8.6195,0.8248
Thailand,15.87,100.9925
Tajikistan,38.861,71.2761
Turkmenistan,38.9697,59.5563
Tonga,-21.1789,-175.1982
Trinidad and Tobago,10.6918,-61.2225
Tunisia,33.8869,9.5375
Turkey,38.9637,35.2433
Taiwan,23.6978,120.9605
Tanzania,-6.369,34.8888
Uganda,1.3733,32.2903
Ukraine,48.3794,31.1656
Uruguay,-32.5228,-55.7658
United States,37.0902,-95.7129
Uzbekistan,41.3775,64.5853
Venezuela,6.4238,-66.5897
Viet Nam,14.0583,108.2772
Yemen,15.5527,48.5164
South Africa,-30.5595,22.9375
Zambia,-13.1339,27.8493
Zimbabwe,-19.0154,29.1549
